Home,Week,Day,Breakfast,Breakfast Amount,Snack AM,Snack AM Amount,Lunch,Lunch Amount,Snack PM,Snack PM Amount,Dinner,Dinner Amount,Snack HS,Snack HS Amount,Total,Total Amount,Diet
Corporate Menu-Cost,1,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.40,,0.00,Choice 1,1.01,Choice 1,1.49,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,1,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.37,,0.00,Choice 1,0.77,Choice 1,1.22,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,1,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.64,,0.00,Choice 1,0.81,Choice 1,1.53,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,1,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.19,,0.00,Choice 1,0.26,Choice 1,0.53,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,2,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.22,,0.00,Choice 1,1.11,Choice 1,1.41,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,2,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.60,,0.00,Choice 1,0.81,Choice 1,1.49,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,2,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.64,,0.00,Choice 1,0.95,Choice 1,1.67,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,2,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.38,,0.00,Choice 1,0.92,Choice 1,1.38,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,2,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.64,,0.00,Choice 1,1.44,Choice 1,2.16,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,2,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.90,,0.00,Choice 1,1.00,Choice 1,1.98,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,2,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.60,,0.00,Choice 1,0.82,Choice 1,1.50,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,3,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.65,,0.00,Choice 1,1.12,Choice 1,1.85,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,3,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.86,,0.00,Choice 1,0.95,Choice 1,1.89,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,3,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.67,,0.00,Choice 1,0.85,Choice 1,1.60,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,3,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.09,,0.00,Choice 1,0.86,Choice 1,1.03,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,3,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.34,,0.00,Choice 1,0.89,Choice 1,1.31,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,3,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.64,,0.00,Choice 1,0.77,Choice 1,1.49,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,3,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.60,,0.00,Choice 1,0.26,Choice 1,0.94,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,4,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.65,,0.00,Choice 1,0.96,Choice 1,1.69,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,4,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.86,,0.00,Choice 1,1.44,Choice 1,2.38,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,4,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.22,,0.00,Choice 1,0.77,Choice 1,1.07,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,4,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.41,,0.00,Choice 1,1.11,Choice 1,1.60,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,4,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.64,,0.00,Choice 1,0.26,Choice 1,0.98,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,4,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.97,,0.00,Choice 1,1.10,Choice 1,2.15,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,4,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.40,,0.00,Choice 1,0.59,Choice 1,1.07,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,1,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.49,,0.00,Choice 1,1.30,Choice 1,1.87,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,1,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.54,,0.00,Choice 1,0.49,Choice 1,1.11,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,1,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.67,,0.00,Choice 1,0.67,Choice 1,1.42,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,1,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.58,,0.00,Choice 1,1.31,Choice 1,1.97,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,1,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.49,,0.00,Choice 1,0.62,Choice 1,1.19,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,1,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.38,,0.00,Choice 1,0.92,Choice 1,1.38,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,1,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.03,,0.00,Choice 1,0.26,Choice 1,0.37,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,2,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.79,,0.00,Choice 1,1.40,Choice 1,2.27,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,2,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.66,,0.00,Choice 1,0.92,Choice 1,1.66,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,2,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.71,,0.00,Choice 1,0.95,Choice 1,1.74,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,2,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.45,,0.00,Choice 1,0.77,Choice 1,1.30,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,2,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.57,,0.00,Choice 1,0.72,Choice 1,1.37,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,2,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,1.06,,0.00,Choice 1,1.00,Choice 1,2.14,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,2,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.44,,0.00,Choice 1,1.18,Choice 1,1.70,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,3,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.72,,0.00,Choice 1,0.92,Choice 1,1.72,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,3,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,1.02,,0.00,Choice 1,0.95,Choice 1,2.05,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,3,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.67,,0.00,Choice 1,0.97,Choice 1,1.72,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,3,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.09,,0.00,Choice 1,1.11,Choice 1,1.28,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,3,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.45,,0.00,Choice 1,1.14,Choice 1,1.67,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,3,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.38,,0.00,Choice 1,0.62,Choice 1,1.08,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,3,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.52,,0.00,Choice 1,0.26,Choice 1,0.86,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,4,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.72,,0.00,Choice 1,1.07,Choice 1,1.87,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,4,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,1.02,,0.00,Choice 1,0.90,Choice 1,2.00,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,4,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.78,,0.00,Choice 1,0.62,Choice 1,1.48,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,4,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.46,,0.00,Choice 1,1.40,Choice 1,1.94,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
Corporate Menu-Cost,4,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.49,,0.00,Choice 1,0.26,Choice 1,0.83,Regular | Texture: Puree
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Puree
