Component,Home,Distributor,Operations Category,Major Group,Manufacturer,Distribution Item,Brand,Brand Name,Pack Size,Unit,Total Quantity,Total Amount,Unit Price,SCC
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS (ELITE),5476306,ELITEMT,BACON PEAMEAL SLI 7MM DELI,5 KG,CS,10,496.6,49.660000000000004,'10063351050183
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS (ELITE),5511430,ELITEMT,BACON PEAMEAL SLI 9MM DELI,5 KG,CS,2,102.38,51.19,'10063351050213
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS (ELITE),5511430,ELITEMT,BACON PEAMEAL SLI 9MM DELI,5 KG,CS,3,148.98,49.66,'10063351050213
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,SYSCO FINE MEATS TORONTO,5211485,BUCKHD,BACON PEAMEAL SWEET,2/2.27KG,KG,4,241.56,60.39,'90734730655782
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,THE MEAT FACTORY,343459,TMF,BACON SLICED PEAMEAL 130-150CT,5 KG,CS,6,336.54,56.09,'00773220330416
9097,Riordon Street Shelter,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1463647,HQB,BACON 16/18 LAY OUT SLICE H,5KG,CS,1,70.6,70.6,'10061853360892
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,SPRINGER MEATS,1165978,SPRIN,BACON DICED,5 KG,CS,1,41.88,41.88,'00627989900000
9097,Riordon Street Shelter,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1331495,OLYMEL,BACON EE 6-8CT THK CUT FRSH,1X5KG,CS,1,70.37,70.37,'10061853762153
9098,Summer Street Shelter,GFS ONTARIO,Food,BACON,SOFINA FOODS INC.,1245374,FLETCHERS,BACON LAYER ECONOMY 16/22CT 52,5 KG,CS,2,57.97,28.985,'10063730521440
1573,Woodlands of Sunset,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,5391205,GFS,BACON RAW 14-16CT CC SLCD 8 3/,5KG,CS,1,67.77,67.77,'00620868915096
1569,The Meadows of Dorchester,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,5391205,GFS,BACON RAW 14-16CT CC SLCD 8 3/,5KG,CS,3,176.28,58.76,'00620868915096
1570,Gilmore Lodge,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7664605,GFS,BACON RAW 16-18CT CC SLCD FZN,5KG,CS,2,132.12,66.06,'10620868098956
1571,Linhaven Home for the Aged,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,3,169.11,56.370000000000005,'10620868098963
9098,Summer Street Shelter,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,3,176.18,58.72666666666667,'10620868098963
1569,The Meadows of Dorchester,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,4,223,55.75,'10620868098963
5884,Deer Park Villa,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,4,244.64,61.16,'10620868098963
1572,Northland Pointe,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,5,282.6,56.52,'10620868098963
9097,Riordon Street Shelter,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,7,431.53,61.64714285714285,'10620868098963
1880,Douglas H. Rapelje Lodge,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,30,1837.75,61.25833333333333,'10620868098963
1573,Woodlands of Sunset,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,7667205,GFS,BACON RAW 18-22CT CC SLCD FRSH,5KG,CS,41,2519.19,61.44365853658537,'10620868098963
9098,Summer Street Shelter,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1171218,GFS,BACON RAW 20-24CT CC SLCD FRSH,5KG,CS,1,67.09,67.09,'00620868129783
9097,Riordon Street Shelter,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1126402,GFS,BACON SLCD 18-22CT E/E RINDLES,1X5KG,CS,1,56.83,56.83,'00620868109990
5884,Deer Park Villa,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1126402,GFS,BACON SLCD 18-22CT E/E RINDLES,1X5KG,CS,1,54.09,54.09,'00620868109990
1573,Woodlands of Sunset,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1126402,GFS,BACON SLCD 18-22CT E/E RINDLES,1X5KG,CS,2,112.66,56.33,'00620868109990
1571,Linhaven Home for the Aged,GFS ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1126402,GFS,BACON SLCD 18-22CT E/E RINDLES,1X5KG,CS,6,313.8,52.300000000000004,'00620868109990
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,232209,OLYMEL,BACON SLI 16/18 LOW SODIUM FRS,5 KG,CS,3,194.13,64.71,'10057459925252
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2931972,SYS IMP,BACON SLICED 14-16 FRSH GF CDN,5 KG,CS,2,135.18,67.59,'00734730476506
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2931972,SYS IMP,BACON SLICED 14-16 FRSH GF CDN,5 KG,CS,6,365.14,60.85666666666666,'00734730476506
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2931972,SYS IMP,BACON SLICED 14-16 FRSH GF CDN,5 KG,CS,6,368.61,61.435,'00734730476506
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2931972,SYS IMP,BACON SLICED 14-16 FRSH GF CDN,5 KG,CS,6,404.56,67.42666666666666,'00734730476506
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2935713,SYS IMP,BACON SLICED 16-18 FRSH GF CDN,5 KG,CS,2,132.78,66.39,'00734730476551
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1573015,BQB,BACON SLICED 18/22 SODIUM RED FRESH,5 KG,CS,2,126.16,63.08,'10057459924798
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,1573015,BQB,BACON SLICED 18/22 SODIUM RED FRESH,5 KG,CS,11,663.75,60.34090909090909,'10057459924798
1880,Douglas H. Rapelje Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936337,SYS CLS,BACON SLICED CC 14-16 GF CDN,5 KG,CS,3,170.69,56.89666666666667,'00734730476605
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936337,SYS CLS,BACON SLICED CC 14-16 GF CDN,5 KG,CS,6,380.91,63.48500000000001,'00734730476605
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936337,SYS CLS,BACON SLICED CC 14-16 GF CDN,5 KG,CS,10,555.44,55.544000000000004,'00734730476605
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936064,SYS CLS,BACON SLICED CC 16-18 GF CDN,5 KG,CS,11,706.28,64.20727272727272,'00734730476582
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936064,SYS CLS,BACON SLICED CC 16-18 GF CDN,5 KG,CS,42,2524.29,60.10214285714286,'00734730476582
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936064,SYS CLS,BACON SLICED CC 16-18 GF CDN,5 KG,CS,80,4872.08,60.900999999999996,'00734730476582
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2932006,SYS IMP,BACON SLICED CC 18-22 GF,5 KG,CS,4,254.84,63.71,'00734730476537
1880,Douglas H. Rapelje Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936005,SYS CLS,BACON SLICED CC 18-22 GF CDN,5 KG,CS,4,226.53,56.6325,'00734730476575
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936005,SYS CLS,BACON SLICED CC 18-22 GF CDN,5 KG,CS,10,579.4,57.94,'00734730476575
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936005,SYS CLS,BACON SLICED CC 18-22 GF CDN,5 KG,CS,13,766.1,58.93076923076923,'00734730476575
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936005,SYS CLS,BACON SLICED CC 18-22 GF CDN,5 KG,CS,16,974.63,60.914375,'00734730476575
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,2936005,SYS CLS,BACON SLICED CC 18-22 GF CDN,5 KG,CS,34,2091.13,61.50382352941177,'00734730476575
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,MAPLE LEAF CONSUMER FOODS,5591957,MAPLELF,BACON SLICED READY CRISP 15-17,2/150 CT,CS,13,826.78,63.598461538461535,'00063100135126
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,OLYMEL FOODS GALCO,8247403,SYS CLS,BACON SLICED RNDM CDN,5 KG,CS,3,125.49,41.83,'00734730236087
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BACON,SUGARDALE FOODS INC.,9053257,LITTLE CAE,BACON THICK SLCD CKD FZN,2X150UN,CS,23,1973.65,85.81086957,'00073890006773
1880,Douglas H. Rapelje Lodge,GFS ONTARIO,Food,BAKING SUPPLIES,"LA CIE MCCORMICK CANADA CO.,",7405516,CLUBHSE,BAKING SODA,12/1.14KG,CS,1,8.68,8.68,'10066200912670
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,206078,DAVROB,BAKING SODA,11 LB,CS,1,25.26,25.26,'10067261130331
1880,Douglas H. Rapelje Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,206078,DAVROB,BAKING SODA,11 LB,CS,1,25.26,25.26,'10067261130331
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,206078,DAVROB,BAKING SODA,11 LB,CS,1,25.26,25.26,'10067261130331
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,AMERICAN ROLAND FOOD,5464977,ROLAND,CHERRY MARA W/STEM,6/2 KG,CS,1,149.69,149.69,'10041224604602
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,REINHART                           ,7327578,DALTONS,CHERRY RED MARASCHINO,4/2 LT,CS,1,62.68,62.68,'10060300000305
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,6132910,SYS CLS,CHOCOLATE CHIP CMPND1000CT CDN,2/1.5KG,CS,1,39.76,39.76,'10734730157198
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,6132910,SYS CLS,CHOCOLATE CHIP CMPND1000CT CDN,2/1.5KG,CS,2,79.52,39.76,'10734730157198
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,YUPIK,5417421,YUPIK,COCONUT SHRD SWEET BULK,3/1 KG,CS,1,34.49,34.49,'10805509070144
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,YUPIK,5417421,YUPIK,COCONUT SHRD SWEET BULK,3/1 KG,CS,1,34.49,34.49,'10805509070144
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,YUPIK,5417421,YUPIK,COCONUT SHRD SWEET BULK,3/1 KG,CS,2,68.98,34.49,'10805509070144
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,7866957,SYS CLS,COCONUT SHRED SWEET CANADA,3/1 KG,CS,1,51.74,51.74,'00734730026466
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,7866957,SYS CLS,COCONUT SHRED SWEET CANADA,3/1 KG,CS,1,75.32,75.32,'00734730026466
1572,Northland Pointe,GFS ONTARIO,Food,BAKING SUPPLIES,DARE FOODS LTD.,1456337,SIMPLE PLE,COOKIE DIGESTIVE,20X310G,CS,2,84.06,42.03,'10055653134449
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DARE FOODS LTD.,7233007,SIMPLE PLE,COOKIE DIGESTIVE,20X310G,CS,12,495.6,41.300000000000004,'10055653134449
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,2582551,CHRISTIE,COOKIE GRAHAM WAFER,1X3.67KG,CS,1,35.5,35.5,'00066721003898
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,2582551,CHRISTIE,COOKIE GRAHAM WAFER,1X3.67KG,CS,2,70.3,35.15,'00066721003898
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,2582551,CHRISTIE,COOKIE GRAHAM WAFER,1X3.67KG,CS,2,70.3,35.15,'00066721003898
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,2582551,CHRISTIE,COOKIE GRAHAM WAFER,1X3.67KG,CS,3,105.45,35.15,'00066721003898
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,2582551,CHRISTIE,COOKIE GRAHAM WAFER,1X3.67KG,CS,3,105.45,35.15,'00066721003898
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,2582551,CHRISTIE,COOKIE GRAHAM WAFER,1X3.67KG,CS,3,105.45,35.15,'00066721003898
1880,Douglas H. Rapelje Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DARE FOODS LTD.,7233025,SIMPLE PLE,COOKIE SPICE SNAP,20X310GR,CS,1,41.3,41.3,'10055653134944
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DARE FOODS LTD.,7233025,SIMPLE PLE,COOKIE SPICE SNAP,20X310GR,CS,1,41.3,41.3,'10055653134944
1880,Douglas H. Rapelje Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MANTAB INC,5253022,MANTAB,CORN STARCH RED FEATHER K 1X5K,1X5KG,BG,1,25.71,25.71,'00069821077028
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MANTAB INC,5253022,MANTAB,CORN STARCH RED FEATHER K 1X5K,1X5KG,BG,3,77.13,25.709999999999997,'00069821077028
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,W.T. LYNCH FOODS LTD,2773893,LYNCH,CRACKER CRUMB GRAHAM MIX,5 LB,PL,1,24.96,24.96,'00062802364032
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,2582561,CHRISTIE,CRUMB COOKIE GRAHAM,1X4.53KG,CS,1,40.98,40.98,'00066721003874
1569,The Meadows of Dorchester,GFS ONTARIO,Food,BAKING SUPPLIES,MONDELEZ CANADA INC - SNACKS,1236384,CHRISTIE,CRUMB COOKIE GRAHAM,1X4.53KG,CS,4,163.56,40.89,'00066721003874
1569,The Meadows of Dorchester,GFS ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2506706,ReaLemon/L,JUICE LEMON,12X945 ML,CS,1,34.48,34.48,'10065912581211
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2382471,ReaLemon/L,JUICE LEMON,2/3.8 LT,CS,1,22.5,22.5,'10065912581068
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2382471,ReaLemon/L,JUICE LEMON,2/3.8 LT,CS,1,23.27,23.27,'10065912581068
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2382463,ReaLemon/L,JUICE LEMON,12X945 ML,CS,1,34.54,34.54,'10065912581211
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2382463,ReaLemon/L,JUICE LEMON,12X945 ML,CS,2,70.97,35.485,'10065912581211
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2382471,ReaLemon/L,JUICE LEMON,2/3.8 LT,CS,4,91.54,22.885,'10065912581068
1880,Douglas H. Rapelje Lodge,GFS ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,9784405,ReaLemon/L,JUICE LIME,12X440 ML,CS,1,24.93,24.93,'10065912581228
1571,Linhaven Home for the Aged,GFS ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,9784405,ReaLemon/L,JUICE LIME,12X440 ML,CS,1,24.93,24.93,'10065912581228
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2382547,ReaLemon/L,JUICE LIME,12X440 ML,CS,1,25.53,25.53,'10065912581228
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,CANADA DRY MOTT'S INC.,2382547,ReaLemon/L,JUICE LIME,12X440 ML,CS,1,25.53,25.53,'10065912581228
1572,Northland Pointe,GFS ONTARIO,Food,BAKING SUPPLIES,SHAFER-HAGGART LTD.,1205411,SUCCESS,MILK COCONUT,12/400 ML,CS,1,22.07,22.07,'20066942359303
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,PREISCO FOODS LTD                  ,191171,TROPISL,MILK COCONUT,12/400 ML,CS,1,22.44,22.44,'10067131120011
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,SHAFER-HAGGART LTD.,4998017,SUCCESS,MILK COCONUT,12/400 ML,CS,1,22.14,22.14,'20066942359303
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,SHAFER-HAGGART LTD.,4998017,SUCCESS,MILK COCONUT,12/400 ML,CS,1,22.14,22.14,'20066942359303
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,SYSCO PRIVATE LABEL,5591106,JADE MT,MILK COCONUT 17-19%,24/400 ML,CS,1,50.24,50.24,'10734730706105
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,1168972,DAVROB,POWDER BAKING,3 KG,CS,1,42.46,42.46,'10067261130324
1880,Douglas H. Rapelje Lodge,GFS ONTARIO,Food,BAKING SUPPLIES,TROPHY FOODS INC.,7614805,GORDON CHO,POWDER COCOA 10/12 PCT,1X3.0KG,CS,1,59.67,59.67,'00620868579908
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,6055626,DAVROB,SEED FLAX GRND,3/3 KG,CS,1,55.61,55.61,'10067261134971
1880,Douglas H. Rapelje Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,6055626,DAVROB,SEED FLAX GRND,3/3 KG,CS,2,111.22,55.61,'10067261134971
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,6055626,DAVROB,SEED FLAX GRND,3/3 KG,CS,2,111.22,55.61,'10067261134971
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,6055626,DAVROB,SEED FLAX GRND,3/3 KG,CS,3,166.83,55.61000000000001,'10067261134971
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BAKING SUPPLIES,DAVID ROBERTS FOOD CORPORATION,6055626,DAVROB,SEED FLAX GRND,3/3 KG,CS,6,333.66,55.61000000000001,'10067261134971
